Lower skin MFCs (in V),Upper skin MFCs (in V),Deflection (in mm),Ptich Angles,,CL,CD
-450,750,-4.7558,-4,,0.0502,0.02615
,,,0,,0.07883,0.02572
,,,4,,0.10912,0.03282
,,,8,,0.1413,0.04355
,,,12,,0.17353,0.0591
,,,16,,0.2069,0.08422
,,,20,,0.24455,0.10935
,,,,,,
-450,1500,-8.3423,-4,,0.10678,0.02435
,,,0,,0.12856,0.03196
,,,4,,0.1621,0.043419
,,,8,,0.20565,0.060368
,,,12,,0.2312,0.080711
,,,16,,0.2671,0.106668
,,,20,,0.3056,0.138798
,,,,,,
-500,50,-1.5639,-4,,,
,,,0,,0.020872,0.03748
,,,4,,0.05053,0.03985
,,,8,,0.07886,0.04758
,,,12,,0.10984,0.05495
,,,16,,0.14429,0.07512
,,,20,,0.2128,0.1158
,,,,,,
-500,750,-4.8858,-4,,0.0535,0.0278
,,,0,,0.08218,0.02675
,,,4,,0.113,0.03425
,,,8,,0.14575,0.04495
,,,12,,0.17773,0.0608
,,,16,,0.20985,0.08648
,,,20,,0.24745,0.11165
,,,,,,
-500,1500,-8.4722,-4,,0.10992,0.0248
,,,0,,0.12991,0.032186
,,,4,,0.1638,0.043721
,,,8,,0.2173,0.063348
,,,12,,0.2335,0.081493
,,,16,,0.2694,0.107643
,,,20,,0.3079,0.139965
