task,target,model,best_params,n_train_total,n_train_synthetic,n_test_real,cv_train_r2_mean,cv_train_r2_std,cv_val_r2_mean,cv_val_r2_std,cv_overfit_gap,test_mae,test_rmse,test_r2,test_mape_pct,test_train_r2_gap,augmentation,evaluation_protocol
structural,deflection_mm,linear_regression,{},587,347,60,0.9999983003304417,1.336926775286608e-07,0.9999982558591706,5.058271515564275e-07,4.447127111006921e-08,0.0016266306967122114,0.0028942100586386143,0.9999980577294565,0.07532563370000282,-1.981297140796201e-07,noisy,leak_free_holdout
structural,deflection_mm,mlp_regressor,"{""regressor__alpha"": 0.01, ""regressor__hidden_layer_sizes"": [128, 64], ""regressor__learning_rate_init"": 0.003}",587,347,60,0.9993629657120285,4.8810707968119244e-05,0.999286004006833,0.00014291287041429728,7.696170519555512e-05,0.04070723364420597,0.05468209570011432,0.9993066701028619,1.1599840797383318,2.0666096028909564e-05,noisy,leak_free_holdout
aerodynamic_cl,cl,linear_regression,{},3254,3094,41,0.9377121996450679,0.0004251332246924774,0.9375643959350931,0.0017363422639505317,0.00014780370997480308,0.005713186658433695,0.00895093733401569,0.9806513232807783,11.56712520153679,0.0430869273456852,noisy,leak_free_holdout
aerodynamic_cd,cd,linear_regression,{},3254,3094,41,0.9377121996450679,0.0004251332246924774,0.9375643959350931,0.0017363422639505317,0.00014780370997480308,0.009117717977451444,0.010725667984847042,0.8268512857908115,23.755080558945416,-0.11071311014428165,noisy,leak_free_holdout
aerodynamic_cl,cl,mlp_regressor,"{""regressor__estimator__alpha"": 0.001, ""regressor__estimator__hidden_layer_sizes"": [128, 64], ""regressor__estimator__learning_rate_init"": 0.003}",3254,3094,41,0.9939908904689393,0.0010540495648367022,0.9935629364662926,0.0021759724142432096,0.00042795400264672434,0.0034338536432712203,0.00550677190638813,0.9926766732559972,6.847691425699623,-0.0008862632102953905,noisy,leak_free_holdout
aerodynamic_cd,cd,mlp_regressor,"{""regressor__estimator__alpha"": 0.001, ""regressor__estimator__hidden_layer_sizes"": [128, 64], ""regressor__estimator__learning_rate_init"": 0.003}",3254,3094,41,0.9939908904689393,0.0010540495648367022,0.9935629364662926,0.0021759724142432096,0.00042795400264672434,0.0022127129183680005,0.00284545961186738,0.987813600146681,6.4726994518182295,-0.005749336319611609,noisy,leak_free_holdout
