model,cl_mae,cl_rmse,cl_r2,cd_mae,cd_rmse,cd_r2,feature_set,cv_train_r2_mean,cv_test_r2_mean
linear_regression,0.005910873355082353,0.008866764004561562,0.981013516583938,0.009562839356305235,0.010693830371759323,0.8278776945949327,shape_and_pitch,0.9343063316127257,0.9250093048290203
mlp_regressor,0.010144078921616407,0.013469215765674296,0.9561874172884782,0.010657535329382926,0.014125362700818002,0.6996900035856397,shape_and_pitch,0.8858308663454384,0.8651552364436013
linear_regression,0.00510960346919145,0.008136093005970624,0.9840137704746367,0.009105988980210554,0.010341335212051368,0.8390378351782,voltages_and_pitch,0.9401373923720993,0.9349144271449372
mlp_regressor,0.014516885094017364,0.01820249185178968,0.9199841679194327,0.01372433084617524,0.017095723469535855,0.5601085294197827,voltages_and_pitch,0.7434425427012916,0.4473573911680008
